Konten,Kelas
"]: belum lama ini, beredar informasi di media sosial instagram mengenai informasi telah dibukanya showroom atau dealer mobil esemka di kawasan komplek pabrik esmka di boyolali. informasi itu diposting oleh akun instagram @esemka_official. rencananya acara launching itu akan diadakan pada senin, 14 oktober 2019. dilansir dari liputan6.com, pantauan liputan6.com dilokasi tersebut terlihat pintu gerbang yang tertelak di bagian depan komplek pabrik mobil esemka pt solo manufaktur kreasi itu tidak dibuka lebar, hanya dibuka seukuran setengah meter. lokasi pabrik esemka yang berada di desa demangan, kecamatan sambi, boyolali, jawa tengah masih sepi dan tertutup seperti hari-hari biasa. dua petugas keamanan tampak berjaga di pos yang terletak di deket pintu gerbang itu. dengan sigap mereka menanyai terkait keperluan dan kepentingannya kepada para pengunjung termasuk liputan6.com yang akan masuk melalui pintu tersebut. jawaban yang diberikan petugas keamanan itu mengejutkan. dikatakan bahwa kabar tersebut palsu dan tak ada pembukaan showroom. ” hari ini tidak ada agenda pembukaan showroom. pihak manajemen dan atasan juga tidak ada himbauan terkait informasi pembukaan showroom itu. itu hoaks,” kata petugas keamanan itu ketika ditunjukkan akun ig yang mengatasnamakan akun resmi pt solo manufaktur kreasi. sementara di depan showroom mobil esemka yang terletak di bagian depan komplek pabrik mobil tersebut juga tidak terlihat adanya aktivitas seperti kegiatan peresmian showroom seperti yang diinformasikan dalam akun ig tersebut. hingga berita ini dimuat, saat ini akun instagram @esemka_official sudah tidak ada jika melakukan pencarian terhadap akun tersebut. ====== ",FAKTA
":  “tolak jabatan menteri, sandiaga: lebih baik pengangguran daripada jadi kacungnya rezim,” tulis  acktuall.blogspot.com. =====  ",HOAX
": situs acktuall.blogspot.com menayangkan artikel dengan tajuk “tolak jabatan menteri, sandiaga: lebih baik pengangguran daripada jadi kacungnya rezim”. setelah dilakukan penelusuran melalui mesin pencari tidak ada pemberitaan yang berjudul sama, dimana mantan calon wakil presiden (cawapres) yang berpasangan dengan prabowo subianto, sandiaga uno mengatakan “lebih baik pengangguran daripada jadi kacungnya rezim”. diketahui, artikel yang ditayangkan oleh acktuall.blogspot.com tersebut, sama persis dengan berita dari media daring yang telah terdaftar di dewan pers yakni detik.com dengan tajuk “lagi, sandiaga tegaskan tak mau jadi menteri jokowi”. berita yang ditayangkan detik.com pada senin 14 oktober 2019 tersebut ditulis oleh jurnalis detik, mochamad zhacky.  dalm berita detik.com tersebut juga, tidak ada pernyataan dari sandiaga yang dikutip langsung yang bunyinya “lebih baik pengangguran daripada jadi kacungnya rezim”. pada media daring lainnya, terkait berita serupa, terdapat pada cnbcindonesia.com dengan tajuk “simak! pengakuan sandiaga uno soal isu jadi menterinya jokowi” dan di liputan6.com yang bertajuk “sandiaga uno beri sinyal tolak tawaran kursi menteri”. pada kedua artikel ini juga tidak ditemukan pernyataan langsung dari sandiaga yang mengatakan “lebih baik pengangguran daripada jadi kacungnya rezim”. berikut isi artikel lengkap yang ditayangkan oleh detik.com dengan tajuk “lagi, sandiaga tegaskan tak mau jadi menteri jokowi”. jakarta – sandiaga uno kembali memberikan respons terkait isu yang menyebutkan namanya sebagai kandidat menteri dalam kabinet yang disusun presiden joko widodo (jokowi) di periode keduanya. adakah sandiaga berubah pikiran? ketika ditanya mengenai isu itu, awalnya sandiaga menyampaikan keyakinannya jokowi membutuhkan masukan dari sudut pandang lain. lalu, sandiaga malah bercerita soal angka pengangguran. “saya meyakini bahwa masih sangat dibutuhkan masukan dari luar pemerintahan, mitra yang kritis konstruktif, menyampaikan pesan-pesan yang jelas demi kemajuan bangsa kita agar indonesia bisa mengejar ketertinggalan,” kata sandiaga di kediamannya, jalan pulombangkeng, kebayoran baru, jakarta selatan, senin (14/10/2019). “ini kan kemari kita ada di… pengangguran ada di nomor dua terburuk di asean. penciptaan lapangan kerja kita nggak jalan, sementara vietnam, dengan adannya perang dagang china dan amerika ini meraup untung,” imbuhnya. ketika wartawan kembali meminta penegasan sikap, barulah sandiaga menyampaikan posisinya. dia mengaku akan berada di luar pemerintah. “saya bersedia untuk memberikan masukan dari luar pemerintahan menyampaikan hal-hal yang seperti pil pahit,” ucap sandiaga. sandiaga khawatir tak bisa memberikan masukan yang objektif jika menjadi bagian dari pemerintah. eks wagub dki itu merasa pemikirannya itu perlu disampaikan. “karena kalau sudah di dalam pemerintahan itu nanti dikhawatirkan semuanya, kan ‘asal bapak senang’. ini yang harus kita sampaikan dalam spirit kebersamaan ini masukan-masukan ini harus kita sampaikan juga,” terang sandiaga. namun, ketika dipertegas kembali, sandiaga mengatakan penyusunan kabinet merupakan hak prerogatif presiden. “jadi, kalau itu kan (hak) prerogatif presiden, prerogatif presiden ya kita hormati, kita hargai,” ujarnya menjawab pertanyaan apakah menolak jika ditunjuk jadi menteri. sandiaga merupakan salah satu nama yang diisukan bakal menjadi menteri di pemerintahan jokowi jilid ii. dia disebut-sebut menjadi kandidat menteri yang mengurusi bidang investasi. ===== ",FAKTA
"  sehubungan dengan adanya pernyataan tanggal 15 oktober 2019 yang disampaikan oleh sekelompok orang yang menamakan dirinya sebagai “ikatan keluarga besar universitas indonesia”, kantor humas dan kip ui menegaskan bahwa universitas indonesia tidak memiliki kaitan apapun dengan kelompok tersebut dan pernyataan sikap kelompok tersebut tidak mewakili sikap universitas indonesia. kelompok tersebut juga tidak berhak menggunakan identitas universitas indonesia mengingat aturan dan ketentuan penggunaannya telah diatur dalam peraturan rektor ui nomor 058 tahun 2017 tentang penggunaan nama, logo, dan/atau merek ui. penyalahgunaan nama, logo, dan/atau merek ui merupakan suatu bentuk pelanggaran hukum yang akan diproses sesuai peraturan perundang-undangan yang berlaku.  kantor humas dan kip ui menyampaikan pula bahwa sikap yang disampaikan oleh kelompok yang menamakan diri sebagai “ikatan keluarga besar universitas indonesia” adalah sikap yang tidak menghargai proses demokrasi dan hukum mengingat pemilihan presiden telah usai dan telah pula ditetapkan hasilnya oleh komisi pemilihan umum, hasil mana diperkuat oleh putusan mk nomor 01/phpu-pres/xvii/2019.  selanjutnya kantor humas dan kip ui mempersilakan penegak hukum untuk mengambil tindakan hukum sesuai ketentuan perundang-undangan yang berlaku. pengumuman ini dikeluarkan oleh kantor humas dan kip ui dengan melalui surat edaran nomor: peng-500/un2.r2.4/hmi.04 informatika/2019 pada tanggal 16 oktober 2019. sementara itu, badan eksekutif mahasiswa universitas indonesia (bem ui) memastikan tak akan menggelar aksi unjuk rasa jelang pelantikan presiden dan wakil presiden pada 20 oktober mendatang. wakil kepala departemen aksi dan propaganda bem ui rozy brilian menuturkan bem ui mematuhi larangan demonstrasi menjelang pelantikan presiden. meski demikian, bem ui mengaku kecewa dan mengecam adanya pembatasan iklim demokrasi tersebut. “dalam waktu dekat kami akan mengeluarkan sikap menyikapi hal ini, tapi belum sekarang karena masih kami susun. nanti bisa diakses di akun media sosial kami bagi para wartawan,” ujar rozy brilian kepada sp, rabu (16/10/2019) ketika dihubungi. lebih lanjut dikatakan rozy, bem ui tetap menghormati imbauan yang dikeluarkan polda metro jaya. sedari awal saat menggelar aksi beberapa waktu lalu, bem ui selalu mematuhi apa yang dilarang dan apa yang dibolehkan oleh polda metro jaya. “sejak awal aksi kami selalu patuh terhadap peraturan. ketika aksi mengarah ke kericuhan dan anarkistis pun kami sudah menarik mundur semua anggota kami,” papar rozy brilian. pelantikan jokowi dan kh maruf amin sebagai presiden dan wakil presiden periode 2019-2024 akan dihadiri oleh para tamu lebih dari 20 negara antara lain kepala negara, kepala pemerintahan, dan juga utusan khusus dari sejumlah negara. kehadiran mereka mengandung makna bahwa banyak negara yang memberikan penghormatan proses demokrasi di indonesia. komisi pemilihan umum (kpu) resmi menetapkan pasangan joko “jokowi” widodo-ma’ruf amin sebagai calon presiden dan wakil presiden terpilih periode 2019-2024. penetapan itu diambil melalui forum rapat pleno terbuka di gedung kpu, jakarta, minggu, (30/6/2019). ketua kpu arief budiman menyebutkan, pasangan calon presiden dan wakil presiden terpilih dalam pemilu 2019 nomor urut 01 joko widodo-ma’ruf amin dengan perolehan suara sebanyak 85.067.362 atau 55,5 persen dari total suara sah. penetapan jokowi-amin sebagai presiden dan wakil presiden terpilih dituangkan dalam surat keputusan (sk) kpu nomor 1185/pl.01.9-kpt/06/kpu/vi/2019 dan berita acara nomor 152/pl.01.9-ba/kpu/vi/2019. penetapan ini merupakan tindak lanjut atas keputusan mk yang menolak gugatan sengketa perselisihan hasil pemilihan umum (phpu) presiden 2019. penolakan gugatan sengketa pilpres itu secara tak langsung memperkuat hasil rekapitulasi nasional penghitungan suara yang telah ditetapkan kpu pada 21 mei 2019. dalam surat keputusan (sk) kpu nomor 987/pl.01.8-kpt/06/kpu/v/2019 tentang penetapan hasil pemilu presiden dan wakil presiden serta dpr, dprd provinsi, dprd kabupaten/kota, secara nasional dalam pemilu 2019, pasangan jokowi-ma’ruf memperoleh 85.607.362 (55,50 persen) suara sementara paslon prabowo-sandi memperoleh 68.650.239 (44,50 persen) suara. ",FAKTA
"  tim cekfakta tempo menelusuri kutipan dalam gambar itu yang seolah merupakan pernyataan mantan panglima tni jenderal purnawirawan gatot nurmantyo. melalui mesin pencari google, tidak ditemukan situs berita yang memuat artikel tentang gatot yang memberikan pernyataan semacam itu. gatot memang pernah mengungkapkan isu soal penyelundupan 5 ribu senjata pada akhir 2017. namun, berdasarkan penelusuran tempo, tidak pernah disebutkan bahwa ribuan senjata itu berasal dari cina. dikutip dari laman kompas.com, pada 22 september 2017 atau beberapa bulan sebelum dicopot dari jabatannya sebagai panglima tni, gatot nurmantyo mengungkapkan bahwa ada institusi non-militer yang mencatut nama presiden joko widodo untuk pengadaan 5 ribu senjata api ilegal. tak lama kemudian, tepatnya pada 30 september 2017, sejumlah senjata milik korps brimob polri tertahan di gudang kargo unex bandara soekarno-hatta. sejumlah pasukan tni pun mendatangi gudang kargo itu dalam rangka pengamanan. namun, pada 5 oktober 2017, gatot membantah bahwa 5 ribu senjata api ilegal yang diungkapkannya itu adalah milik polri. menurut gatot, kedua peristiwa itu terjadi secara kebetulan. dilansir dari laman voa indonesia, polri mengakui bahwa senjata yang tertahan di gudang kargo bandara soekarno-hatta diimpor untuk korps brimob polri. namun, menurut kepala divisi humas polri inspektur jenderal setyo wasisto pada 30 september 2017, pengadaan senjata api itu sudah melalui proses anggaran dan prosedur yang sah. masuknya senjata itu, menurut setyo, juga sudah sepengetahuan tni, khususnya badan intelijen strategis (bais). “barang tersebut masuk ke wilayah pabean bandara soekarno-hatta. dankor brimob sudah memberitahu dan meminta rekomendasi ke bais tni. prosedurnya memang demikian, untuk dikarantina dan dicek oleh bais tni. baru dikeluarkan rekomendasi oleh bais tni,” ujarnya. polri pun menyatakan jumlah senjata yang diimpor untuk brimob tersebut bukan sebanyak 5 ribu pucuk, melainkan 280 pucuk dengan 5.932 peluru. senjata itu berjenis arsenal stand alone grenade launcher (sagl) dengan kaliber 40×46 milimeter. senjata ini merupakan senjata untuk efek kejut yang diperlukan antara lain dalam menangani demonstrasi. peluru yang bisa ditembakkan dengan senjata ini bermacam-macam, mulai dari peluru karet, peluru hampa, hingga peluru gas air mata. berdasarkan informasi dari voa indonesia, senjata itu berasal dari bulgaria, bukan dari cina, dan diimpor oleh pt mustika duta mas yang didistribusikan ke brimob dengan pesawat charter model antonov an-12 tb dari maskapai ukraine air alliance ukl-4024. isu penyelundupan senjata dari cina terkait penyelundupan satu kontainer berisi senjata dari cina, isu itu pernah beredar pada november 2018 di facebook. unggahan di facebook itu berisi informasi bahwa telah ditemukan satu kontainer berisi senjata di pt indonesia morowali industrial park (imip). unggahan itu juga menyebut 70 persen pekerja pt imip berasal dari cina. dalam unggahan itu tertulis, “apakah ada kaitannya dengan isu terbongkarnya kasus impor 5 ribu pucuk senjata ilegal spek militer oleh polri tahun lalu dari cina?” koordinator humas pt imip, dedy kurniawan, membantah isu soal penyelundupan senjata di perusahaannya tersebut. menurut dia, informasi itu benar-benar hoaks sekaligus menggelikan. “jangankan satu kontainer, satu pucuk senjata atau satu butir peluru organik saja sudah bikin geger,” ujarnya. dedy juga mengklarifikasi bahwa jumlah karyawan dari indonesia yang bekerja di pt imip mencapai 24 ribu orang. adapun jumlah tenaga kerja asing hanya sekitar 2 ribu orang. alasan pencopotan gatot nurmantyo dilansir dari situs liputan6.com, pada 4 desember 2017, presiden joko widodo mengungkapkan alasannya mencopot gatot dari jabatannya sebagai panglima tni, yakni lantaran usia gatot sudah hampir memasuki masa pensiun. “mekanisme normal saja karena jenderal gatot nurmantyo memasuki masa pensiun pada maret 2018 mendatang,” kata jokowi. saat dicopot, gatot masih memiliki waktu sekitar empat bulan sebelum memasuki masa pensiun. gatot diberhentikan secara hormat sebagai panglima tni berdasarkan surat keputusan presiden nomor 83 tahun 2017 tentang pemberhentian dan pengangkatan panglima tni. lantas, apa kata gatot soal pemberhentiannya yang lebih cepat empat bulan sebelum masa pensiun? “kita jangan meihat akhirnya, tapi seharusnya tanya dong berapa lama saya menjabat. saya menjabat dua tahun lebih. jadi ya sudah sewajarnya,” kata gatot pada 8 desember 2017. ",FAKTA
"). ====== [kategori]: konten yang salah ====== [sumber]: media sosial https://web.archive.org/save/https://www.youtube.com/watch?v=-bokckrrptu&feature=share&fbclid=iwar0hidtcmtwfqxsenr-ckvkmlw59y2kdo5ms6dtmq2qpydt0fb1rl7iroow&app=desktop ====== [penjelasan]: beredar informasi berupa video slide show di youtube yang mengklaim bahwa akbar alamsyah, pelajar yang fotonya viral hingga ke manca negara saat membawa bendera merah putih ketika aksi demonstrasi di depan gedung dpr pada 25 september lalu meninggal dunia pada 10 oktober 2019. faktanya, akbar alamsyah memang meninggal dunia pada tanggal 10 oktober 2019 di rspad gatot subroto setelah sempat dalam keadaan koma selama beberapa hari. dirinya juga turut melakukan aksi demonstrasi di depan gedung dpr pada bulan lalu. namun klaim bahwa pelajar yang fotonya viral membawa bendera merah putih saat aksi demo tersebut merupakan almarhum akbar alamsyah adalah tidak benar dan merupakan orang yang berbeda. pelajar yang fotonya viral tersebut adalah lutfi alfiandi yang diamankan pihak kepolisian saat melakukan aksi demo pada 30 september 2019. hingga saat ini diketahui bahwa lutfi masih hidup. kepala satuan reserse kriminal polres metro jakarta barat, ajun komisaris besar polisi (akbp) edy suranta mengonfirmasi bahwa lutfi alfiandi bukanlah berstatus pelajar, melainkan sudah lulus sekolah menengah saat aksi demo tersebut. [kesimpulan]: klaim yang menyebutkan bahwa almarhum akbar alamsyah merupakan sosok pelajar yang fotonya viral memegang bendera merah putih saat aksi demo di depan gedung dpr adalah tidak benar.  sosok asli dari foto viral tersebut adalah lutfi alfiandi yang saat ini masih hidup dan tengah menjalani proses hukum yang telah dilimpahkan ke polres jakarta pusat setelah sebelumnya ditahan di polres metro jakarta barat karena dugaan aksi rusuh di depan gedung dpr ri pada 30 september 2019. ====== ",FAKTA
" “inikah sholat islam nusantara?” (di dalam video). “innalilahi,kalau..ini..nanti,di syahkan oleh pemerintah,maka indonesia..resmi menjadi negara sekuler..dan hancurlah islam…” (di post). ====== ",HOAX
" (1) http://bit.ly/2rhtadc / http://bit.ly/2mxvn7s, first draft news: “konten yang salah ketika konten yang asli dipadankan dengan konteks informasi yang salah”. * sumber membagikan video yusman roy, berkaitan dengan kasus “salat dua bahasa” tahun 2005. * sumber menambahkan narasi yang tidak sesuai dengan fakta sehingga membangun premis pelintiran, video berkaitan dengan kasus “salat dua bahasa” dihubung-hubungkan dengan hal lain yang tidak ada kaitannya dengan konteks video yang sesungguhnya. (2) beberapa artikel yang berkaitan: * liputan6 @ 8 mei 2005: “setelah dua hari diperiksa, sabtu (7/5), pengasuh pondok iktikaf jamaah ngaji lelaku, yusman roy resmi menjadi tersangka kasus penodaan agama seperti diadukan majelis ulama indonesia cabang kabupaten malang. selain mengajarkan salat menggunakan bahasa indonesia, yusman juga dinilai mengeluarkan pernyataan yang menyudutkan mui. kini, mantan petinju nasional itu mendekam di markas kepolisian wilayah malang, jawa timur. …” selengkapnya di http://bit.ly/2q7n9xz / http://bit.ly/31c34mz (arsip cadangan). – * detiknews @ 14 nov 2006: “masih ingat ajaran salat dua bahasa di malang yang dulu bikin heboh? pengajarnya, ustad yusman roy, kini telah menghirup udara bebas setelah menjalani vonis 2 tahun.ustad roy bebas sejak kamis 9 november 2006. dia juga sempat mendapat remisi 3 bulan. …” selengkapnya di http://bit.ly/33uwos5 / http://archive.fo/acmgs (arsip cadangan). ====== ",FAKTA
 sebagai berikut : “jembatan darurat yg dibangun dlm waktu 24 jam akibat jalan tertutup oleh tanah longsor setelah terjadi angin topan di jepang bbrp hari ini. 24 jam saudara-saudara!” sumber : https://perma.cc/9k8g-mq4z (arsip) – sudah dibagikan 5.083 kali saat tangkapan layar diambil. ============================================= ,HOAX
"  berdasarkan penelusuran terhadap gambar yang diunggah oleh akun sumber, ditemukan fakta bahwa jembatan darurat tersebut memang berlokasi di jepang, tepatnya di jalan raya nasional no. 305, kota fukui, prefektur fukui. tapi, klaim bahwa jembatan darurat tersebut selesai dibangun dalam waktu 24 jam adalah klaim yang salah.begitu juga klaim bahwa tanah longsor terjadi setelah angin topan beberapa hari ini, yang berarti yang dimaksud adalah badai topan hagibis yang menerjang semenanjung izu, barat daya tokyo pada sabtu 12 oktober 2019 juga salah. berikut penjelasan selengkapnya, antara 5 dan 8 juli 2018 , beberapa jalan raya dan jalan di prefektur fukui menghentikan lalu lintas karena tanah longsor. ini karena hujan lebat yang terjadi di jepang barat. di antara jalan yang terkena dampak adalah dua membentang rute nasional 305 – jalan raya nasional 145 km – yang pada dasarnya melewati wilayah pantai prefektur fukui. menurut kantor teknik sipil fukui , sejumlah besar batu yang telah tergelincir di jalan raya sepanjang hampir 100 meter mencegah lalu lintas lancar kembali di lokasi. surat kabar “fukui shimbun” bahkan menggambarkan batu-batu itu seukuran bus. pada 8 agustus 2018 , surat kabar fukui shimbun melaporkan bahwa ide pihak berwenang adalah menciptakan semacam jalan sementara, serta jembatan sementara yang sama di atas laut, karena pekerjaan untuk memulihkan jalan asli akan memakan waktu lama. . masih dalam diskusi apakah ide ini akan benar-benar berhasil dan siapa yang akan bertanggung jawab untuk melaksanakan pekerjaan, dan karenanya dari mana uang itu berasal, yaitu apakah tanggung jawab akan berada di prefektur fukui atau pemerintah nasional. pekerjaan akan dimulai pada 27 agustus dan selesai pada 30 oktober 2018 . pada dasarnya, jembatan laut sementara sepanjang 210 meter dan lebar 6 meter dibangun untuk memotong 80 meter dari rute nasional 305. dan lalu lintas dibuka pada tanggal 31 oktober 2019. sementara itu, pemulihan total jalan raya ini dijadwalkan akan selesai pada akhir 2019. ",FAKTA
